地名,センター,不燃ごみ,不燃ごみ,古紙類・生きびん,空き缶・ﾍﾟｯﾄﾎﾞﾄﾙ・ｶﾞﾗｽびん
相野第一,10,月 木,金2 金4,火2 火4,金1 金3
あいの西,10,月 木,金2 金4,火2 火4,金1 金3
青森一番街,11,月 木,水2 水4,金2 金4,水1 水3
青杜マンション,11,月 木,水2 水4,金2 金4,水1 水3
あおやま,10,月 木,金2 金4,火2 火4,金1 金3
赤坂,2,月 木,火1 火3,水1 水3,火2 火4
あかしや,9,火 金,木2 木4,水2 水4,木1 木3
曙,2,月 木,火1 火3,水1 水3,火2 火4
朝日坂団地,10,月 木,金2 金4,火2 火4,金1 金3
旭町,11,月 木,水2 水4,金2 金4,水1 水3
朝日プラザ堤Ⅱ,1,火 金,月1 月3,木2 木4,月2 月4
浅虫,3,火 金,水1 水3,月1 月3,水2 水4
飛鳥,3,火 金,水1 水3,月1 月3,水2 水4
油川あけぼの,1,火 金,月1 月3,木2 木4,月2 月4
油川下町,1,火 金,月1 月3,木2 木4,月2 月4
油川館町,1,火 金,月1 月3,木2 木4,月2 月4
油川茶屋町,1,火 金,月1 月3,木2 木4,月2 月4
油川寺町,1,火 金,月1 月3,木2 木4,月2 月4
油川仲町,1,火 金,月1 月3,木2 木4,月2 月4
油川横町,1,火 金,月1 月3,木2 木4,月2 月4
荒川一区,4,火 金,木1 木3,月2 月4,木2 木4
荒川三区,4,火 金,木1 木3,月2 月4,木2 木4
荒川二区,4,火 金,木1 木3,月2 月4,木2 木4
荒川四区,4,火 金,木1 木3,月2 月4,木2 木4
アルデール柳川,7,月 木,火2 火4,金1 金3,火1 火3
石江江渡下,9,火 金,木2 木4,水2 水4,木1 木3
石江江渡中,9,火 金,木2 木4,水2 水4,木1 木3
石江高間,9,火 金,木2 木4,水2 水4,木1 木3
石神,9,火 金,木2 木4,水2 水4,木1 木3
泉川,5,月 木,金1 金3,火1 火3,金2 金4
泉野,3,火 金,水1 水3,月1 月3,水2 水4
板橋,4,火 金,木1 木3,月2 月4,木2 木4
稲元,6,火 金,月2 月4,木1 木3,月1 月3
稲元第三,6,火 金,月2 月4,木1 木3,月1 月3
稲元第二,6,火 金,月2 月4,木1 木3,月1 月3
岩渡,12,金,木3,水3,木2
ヴィラージュ,5,月 木,金1 金3,火1 火3,金2 金4
